Title,Company,Location,Date Posted,Logo URL,Job URL
Analytics Engineer (L5) - Simulator (Pricing),Netflix,United States,N/A,https://media.licdn.com/dms/image/v2/D4E0BAQGMva5_E8pUjw/company-logo_100_100/company-logo_100_100/0/1736276678240/netflix_logo?e=2147483647&v=beta&t=OSlCcMLJmlXo79qPS59zP_IX873LK5R4FGYeUAWXdiQ,https://www.linkedin.com/jobs/view/analytics-engineer-l5-simulator-pricing-at-netflix-4341830868?position=2&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=XHimPWMSPkbO1K4J7%2BOLlQ%3D%3D
"Software Engineer, E-Commerce Platform",Discord,San Francisco Bay Area,N/A,https://media.licdn.com/dms/image/v2/D560BAQEGavKonGPGcw/company-logo_100_100/company-logo_100_100/0/1719257940480/discord_logo?e=2147483647&v=beta&t=QqNnNuiOygDtzBPDZ_Pk9F9WOTPBb4aExfKHM412qaU,https://www.linkedin.com/jobs/view/software-engineer-e-commerce-platform-at-discord-4307349185?position=3&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=7Pk7IjG5me8MZeSM5bnVNg%3D%3D
"Software Engineer (L4), Content & Business Products",Netflix,"Los Gatos, CA",N/A,https://media.licdn.com/dms/image/v2/D4E0BAQGMva5_E8pUjw/company-logo_100_100/company-logo_100_100/0/1736276678240/netflix_logo?e=2147483647&v=beta&t=OSlCcMLJmlXo79qPS59zP_IX873LK5R4FGYeUAWXdiQ,https://www.linkedin.com/jobs/view/software-engineer-l4-content-business-products-at-netflix-3985806293?position=4&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=ol8Gywp8%2BBaJJEYUEmUbLQ%3D%3D
Software Engineer,Plaid,"New York, NY",4 hours ago,https://media.licdn.com/dms/image/v2/D4E0BAQET1PssqfCU5g/company-logo_100_100/B4EZarmEzJGYAY-/0/1746635608257/plaid__logo?e=2147483647&v=beta&t=fiFr2KJFzSNufIcHLyRdsg9kzJviRTfZilOvCt99Hg0,https://www.linkedin.com/jobs/view/software-engineer-at-plaid-4243684882?position=5&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=PVuRseNLJiFdBhJOG5cbtQ%3D%3D
"Software Engineer, Frontend, All Levels",Ramp,"New York, United States",N/A,https://media.licdn.com/dms/image/v2/D4E0BAQFpzb0Ial_Qaw/company-logo_100_100/company-logo_100_100/0/1735867522188?e=2147483647&v=beta&t=-e5IQvH4Ozx0u6jyMceV3cBf51tDtGsd3N0ngjPy2-I,https://www.linkedin.com/jobs/view/software-engineer-frontend-all-levels-at-ramp-4332771770?position=6&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=OIgvC2pA9BG3FLuKG4xSZg%3D%3D
Software Engineer & Computer Science - Recent Grad/Full Time,Honeywell,United States,N/A,https://media.licdn.com/dms/image/v2/C560BAQFvcIh3UnA5zw/company-logo_100_100/company-logo_100_100/0/1630621634841/honeywell_logo?e=2147483647&v=beta&t=el5CyUz5n_qzua6OscZ-xQrU1xJg3xcD4x0QQIEAGaU,https://www.linkedin.com/jobs/view/software-engineer-computer-science-recent-grad-full-time-at-honeywell-4292999956?position=7&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=dc69V7%2Fxl7HksuCSSILVjw%3D%3D
"Software Engineer, Web Platform",Pinterest,San Francisco Bay Area,N/A,https://media.licdn.com/dms/image/v2/D4E0BAQFiwsk1pTWN1g/company-logo_100_100/company-logo_100_100/0/1713892956828/pinterest_logo?e=2147483647&v=beta&t=gCdtp7uy_wcK96b83RC0VogNWc9od6d_1iNLbrawiPc,https://www.linkedin.com/jobs/view/software-engineer-web-platform-at-pinterest-4337201298?position=8&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=KItVtS6BhKokequhJh6j%2Fw%3D%3D
Software Engineer,Twitch,"San Francisco, CA",N/A,https://media.licdn.com/dms/image/v2/D560BAQHbYCvrNGC17g/company-logo_100_100/company-logo_100_100/0/1695062101897/twitch_tv_logo?e=2147483647&v=beta&t=uqZASN7sr7mZBei_6o-tFrTEho8x-ttcnGLk4zejrSg,https://www.linkedin.com/jobs/view/software-engineer-at-twitch-4324040722?position=9&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=C65Yyf%2B2YUZ%2BexCn68fX5g%3D%3D
Software Engineer 4 - Web & TV Player,Netflix,United States,N/A,https://media.licdn.com/dms/image/v2/D4E0BAQGMva5_E8pUjw/company-logo_100_100/company-logo_100_100/0/1736276678240/netflix_logo?e=2147483647&v=beta&t=OSlCcMLJmlXo79qPS59zP_IX873LK5R4FGYeUAWXdiQ,https://www.linkedin.com/jobs/view/software-engineer-4-web-tv-player-at-netflix-4266459191?position=10&pageNum=1&refId=3X1jcWi4xsQtgud5r%2BujNQ%3D%3D&trackingId=CMB%2FKGaWAFScxDQ8NzcHKw%3D%3D
Software Engineer 1,Intuit,"Mountain View, CA",2 hours ago,https://media.licdn.com/dms/image/v2/C560BAQFTpF8uneqScw/company-logo_100_100/company-logo_100_100/0/1661446146222/intuit_logo?e=2147483647&v=beta&t=5hsEsGdMVVpQSXz7yjJc2fshydqwaa7AOmiIPwuwgmA,https://www.linkedin.com/jobs/view/software-engineer-1-at-intuit-4338990824?position=1&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=w3VCtYpynrmpMZqSTBx0pQ%3D%3D
"Software Engineer, Fullstack",Glean,San Francisco Bay Area,N/A,https://media.licdn.com/dms/image/v2/C560BAQH8sZuW2WzLDQ/company-logo_100_100/company-logo_100_100/0/1647448995044/gleanwork_logo?e=2147483647&v=beta&t=Aklui211WSSXBgiNgGaLdX9Flcp1jyC4v12thmMnltI,https://www.linkedin.com/jobs/view/software-engineer-fullstack-at-glean-4195259082?position=2&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=2wc01crqvujt%2BbytR3HvBg%3D%3D
"Software Engineer III, Web",Tinder,"West Hollywood, CA",N/A,https://media.licdn.com/dms/image/v2/C560BAQGXi3o84QXQnw/company-logo_100_100/company-logo_100_100/0/1652919833346/tinder_incorporated_logo?e=2147483647&v=beta&t=8LEaFsSXxauZwQqF8LfCfmp26NPOvf4Q9WOLk1F8z9I,https://www.linkedin.com/jobs/view/software-engineer-iii-web-at-tinder-4323801665?position=3&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=NwMW3RKgctQgoQObcg4%2FpA%3D%3D
Software Engineer - Training,Samsara,San Francisco Bay Area,N/A,https://media.licdn.com/dms/image/v2/D560BAQGJd8HDfSEaLg/company-logo_100_100/company-logo_100_100/0/1728335806865/samsara_logo?e=2147483647&v=beta&t=IlAh3rieKGJxnY_EYKz16xBvN5ZQxBWiNYzs-xnD3nw,https://www.linkedin.com/jobs/view/software-engineer-training-at-samsara-4331761379?position=4&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=XIVfLwEgeki%2FG7mILXFpdg%3D%3D
Software Engineer,Deep Sky,"Los Angeles, CA",N/A,https://media.licdn.com/dms/image/v2/C560BAQER3wPMyrGGsA/company-logo_100_100/company-logo_100_100/0/1669216576639/deep_sky_climate_logo?e=2147483647&v=beta&t=8HbIJI-GTlk8G0nXfDuZr9FsGcKHchJ1YIiVn_3zZrQ,https://www.linkedin.com/jobs/view/software-engineer-at-deep-sky-4338693410?position=5&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=O3FnfVNgwOXcHASIgM4Fww%3D%3D
Software Engineer I,Aflac,"New York, NY",N/A,https://media.licdn.com/dms/image/v2/C560BAQHYqAtlWKylnw/company-logo_100_100/company-logo_100_100/0/1631353432555?e=2147483647&v=beta&t=o31WYVmDD8La-xy4yLfckhSfzvviSfQ4mXwZ2P3cWl0,https://www.linkedin.com/jobs/view/software-engineer-i-at-aflac-4337203348?position=6&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=1GbrCGvW59bDhsZ513MovQ%3D%3D
Early Software Engineer,TechTree,"San Francisco, CA",N/A,https://media.licdn.com/dms/image/v2/D4D0BAQFMatIv93cR3w/company-logo_100_100/B4DZY57fKYHwAQ-/0/1744728618059/techtreehq_logo?e=2147483647&v=beta&t=plSycNWP7fM2rMtpep9yvCAv_Q82SeG7msB1Uxu3fvI,https://www.linkedin.com/jobs/view/early-software-engineer-at-techtree-4319446471?position=7&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=CbJRn2SjipE2%2BugDsGltmQ%3D%3D
Software Engineer 1,Intuit,"Mountain View, CA",2 hours ago,https://media.licdn.com/dms/image/v2/C560BAQFTpF8uneqScw/company-logo_100_100/company-logo_100_100/0/1661446146222/intuit_logo?e=2147483647&v=beta&t=5hsEsGdMVVpQSXz7yjJc2fshydqwaa7AOmiIPwuwgmA,https://www.linkedin.com/jobs/view/software-engineer-1-at-intuit-4339000854?position=8&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=1m2VZ8bAaGdnrP11U8I8Og%3D%3D
"Software Engineer, Frontend, All Levels",Ramp,"Miami, FL",N/A,https://media.licdn.com/dms/image/v2/D4E0BAQFpzb0Ial_Qaw/company-logo_100_100/company-logo_100_100/0/1735867522188?e=2147483647&v=beta&t=-e5IQvH4Ozx0u6jyMceV3cBf51tDtGsd3N0ngjPy2-I,https://www.linkedin.com/jobs/view/software-engineer-frontend-all-levels-at-ramp-4048167981?position=9&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=GiB1hkXBvkRcLl9jSa5ejw%3D%3D
Software Engineer 1,Intuit,"San Diego, CA",2 hours ago,https://media.licdn.com/dms/image/v2/C560BAQFTpF8uneqScw/company-logo_100_100/company-logo_100_100/0/1661446146222/intuit_logo?e=2147483647&v=beta&t=5hsEsGdMVVpQSXz7yjJc2fshydqwaa7AOmiIPwuwgmA,https://www.linkedin.com/jobs/view/software-engineer-1-at-intuit-4339010788?position=10&pageNum=2&refId=yXhbQG7VzoJLw4nGngmK4w%3D%3D&trackingId=kyUPZiBHo%2BZSQ6yQajtp6Q%3D%3D
